city,avg_price_inr
Panaji,288.79
Mumbai,274.74
Gurgaon,273.38
Lucknow,270.3
Shillong,268.03
Hyderabad,266.0
Chandigarh,265.74
New Delhi,261.44
Ahmedabad,256.77
Bengaluru,255.56
Guwahati,254.28
Kochi,248.58
Chennai,246.79
Kohima,242.77
Dehradun,240.28
Kolkata,239.72
Aizawl,238.97
Indore,237.8
Srinagar,235.16
Imphal,233.99
Jaipur,231.01
Raipur,227.21
Patna,224.72
Bhubaneswar,220.87
Shimla,218.32
Gangtok,211.47
Ranchi,210.21
Agartala,198.06
