category,price_inr_mean,price_inr_median,price_inr_std,price_inr_min,price_inr_max,rating_mean,rating_median,rating_std,rating_min,rating_max,rating_count_mean,rating_count_median,rating_count_std,rating_count_min,rating_count_max
Uttapam And Vada,212.5,215.0,9.57,200.0,220.0,4.58,4.75,0.53,3.8,5.0,3.25,3.0,0.5,3,4
Uttappam,260.0,260.0,,260.0,260.0,4.6,4.6,,4.6,4.6,2.0,2.0,,2,2
Utthapam,155.57,163.0,14.74,124.0,163.0,4.43,4.4,0.29,4.0,4.8,17.14,15.0,8.76,7,31
Utthapams,214.86,209.0,19.41,200.0,245.0,4.26,4.2,0.08,4.2,4.4,10.0,8.0,6.73,3,23
VEG BURGERS MEALS,203.91,204.3,45.19,135.3,289.21,4.35,4.4,0.27,3.6,4.8,209.96,90.0,290.96,1,990
VEG MUNCHIES,131.56,144.0,34.49,64.0,184.0,4.44,4.4,0.35,3.6,5.0,32.12,11.0,60.72,1,295
Vada,101.14,90.0,47.84,25.0,195.0,4.33,4.3,0.22,3.9,4.8,162.03,70.0,213.8,5,917
Vada Pav,75.56,75.0,20.38,45.0,105.0,4.07,4.3,0.65,2.8,5.0,56.11,10.0,144.03,3,440
Vada pav,68.75,70.0,14.93,50.0,85.0,3.58,3.8,0.9,2.3,4.4,23.25,15.5,25.29,4,58
Vada/ Bonda/ Puri,96.0,90.0,17.1,75.0,120.0,4.26,4.3,0.15,4.0,4.4,89.0,87.0,70.52,15,194
Vadapav,46.25,47.5,12.5,30.0,60.0,4.28,4.6,0.94,2.9,5.0,37.0,7.5,62.07,3,130
Vallue Combo,360.0,370.0,17.32,340.0,370.0,4.17,4.3,0.32,3.8,4.4,143.33,99.0,133.16,38,293
Value Biryani Bowl,289.0,289.0,4.71,279.0,299.0,4.37,4.4,0.36,3.8,5.0,19.5,15.5,19.66,3,69
Value Bowl,254.0,249.0,10.0,249.0,269.0,4.53,4.55,0.25,4.2,4.8,7.25,4.5,6.55,3,17
Value Chicken  Bucket.,599.0,599.0,0.0,599.0,599.0,4.25,4.25,0.07,4.2,4.3,1.5,1.5,0.71,1,2
Value Combos,245.38,269.0,46.47,179.0,310.0,4.42,4.4,0.38,3.9,5.0,1.75,1.0,1.75,1,6
Value Fun Pizza @ 100,284.0,239.0,112.5,199.0,499.0,4.49,4.5,0.45,3.6,5.0,7.5,6.0,6.44,1,22
Value Meal Bento,284.67,288.0,5.77,278.0,288.0,4.57,4.5,0.12,4.5,4.7,18.67,14.0,9.87,12,30
Value Meal Combos,349.0,349.0,,349.0,349.0,3.7,3.7,,3.7,3.7,2.0,2.0,,2,2
Value Meals,643.86,639.14,257.22,137.57,1198.8,4.43,4.4,0.42,2.3,5.0,17.06,3.0,78.4,1,754
Value Meals (Save Upto 47%),291.39,288.0,38.67,229.0,363.0,4.31,4.4,0.5,1.6,5.0,7.85,4.0,11.58,1,136
Value Meals - Newly Launched,299.0,229.0,130.0,219.0,449.0,4.5,4.6,0.26,4.2,4.7,5.67,6.0,0.58,5,6
Value Meals starting at 259 (Serves 1),289.0,289.0,,289.0,289.0,4.5,4.5,,4.5,4.5,1.0,1.0,,1,1
Value Scoops,110.49,110.0,12.48,75.0,132.0,4.56,4.7,0.41,3.2,5.0,7.46,1.0,28.02,1,159
Value Snackers,212.21,139.0,123.51,119.0,399.05,3.9,3.9,0.49,3.1,4.3,54.4,38.0,45.48,1,120
Varieties Of Fish,430.0,430.0,56.57,390.0,470.0,4.75,4.75,0.35,4.5,5.0,5.0,5.0,2.83,3,7
Varieties Of Rice,110.0,110.0,,110.0,110.0,4.4,4.4,,4.4,4.4,123.0,123.0,,123,123
Varieties Of Upma,106.0,110.0,20.74,70.0,120.0,4.52,4.5,0.33,4.1,5.0,120.6,13.0,229.64,1,530
Variety Rice,130.27,149.0,26.05,85.0,169.0,4.57,4.6,0.2,4.2,5.0,240.0,131.0,260.58,4,784
Veerji Burger,69.0,69.0,,69.0,69.0,4.5,4.5,,4.5,4.5,4.0,4.0,,4,4
Veerji Special Biryani,230.0,230.0,0.0,230.0,230.0,3.8,3.7,0.46,3.4,4.3,7.0,8.0,2.65,4,9
Veerji Special Chinese Items,143.5,155.0,62.36,69.0,195.0,4.32,4.5,0.52,3.6,4.7,4.5,3.0,4.51,1,11
Veg,134.3,152.5,66.91,27.0,239.0,4.15,4.2,0.43,3.0,5.0,82.05,15.0,174.97,1,705
Veg ,260.0,260.0,28.28,240.0,280.0,4.5,4.5,0.0,4.5,4.5,25.5,25.5,10.61,18,33
Veg & Gravy,220.0,220.0,,220.0,220.0,5.0,5.0,,5.0,5.0,3.0,3.0,,3,3
Veg & non veg special combo,234.55,220.0,80.42,160.0,400.0,4.21,4.2,0.56,3.4,5.0,13.82,16.0,11.26,3,37
Veg 1 KG Matka Biryani + Free Dessert,449.0,449.0,70.71,399.0,499.0,3.8,3.8,0.0,3.8,3.8,24.0,24.0,2.83,22,26
Veg Appetizers,286.33,325.0,85.22,130.0,395.0,3.77,4.0,0.93,1.5,4.9,10.13,7.0,13.22,3,57
Veg Biryani,371.71,408.0,79.65,199.0,418.0,4.17,4.3,0.67,2.9,5.0,7.86,7.0,6.59,1,19
Veg Bites,160.0,160.0,,160.0,160.0,5.0,5.0,,5.0,5.0,6.0,6.0,,6,6
Veg Burger,97.36,95.0,19.37,69.0,140.0,3.96,4.1,0.83,2.0,4.8,109.36,54.0,179.19,3,625
Veg Burger with French Fries,299.0,299.0,,299.0,299.0,5.0,5.0,,5.0,5.0,3.0,3.0,,3,3
Veg Burgers,144.77,134.1,64.25,74.1,375.0,4.45,4.4,0.34,3.4,5.0,151.82,87.5,196.75,1,810
"Veg CHEESE BURST Thin Crust Pizzas [10"" Large]",481.86,469.0,88.18,399.0,599.0,4.57,4.6,0.26,4.0,5.0,1.93,1.0,1.59,1,6
Veg Chinese Rice And Noodles,150.0,150.0,,150.0,150.0,2.9,2.9,,2.9,2.9,3.0,3.0,,3,3
Veg Chinese Starters,315.88,320.0,58.74,190.0,390.0,4.11,4.1,0.59,2.8,4.9,49.47,17.0,61.84,1,189
Veg Combos,284.0,284.0,7.07,279.0,289.0,4.5,4.5,0.28,4.3,4.7,109.5,109.5,146.37,6,213
Veg Curries,445.41,487.0,88.18,149.0,497.0,4.27,4.4,0.45,3.1,5.0,61.76,27.0,84.37,2,372
Veg Curry,160.21,150.0,35.38,90.0,230.0,4.54,4.6,0.27,3.8,5.0,40.49,29.0,31.51,3,136
Veg Delight Starters,269.11,274.0,12.85,254.0,284.0,3.91,4.1,0.91,2.2,5.0,62.89,35.0,81.42,6,252
Veg Dimsum,500.0,500.0,,500.0,500.0,3.7,3.7,,3.7,3.7,1.0,1.0,,1,1
Veg Dishes,116.93,102.0,56.76,45.0,232.0,4.17,4.3,0.67,2.2,5.0,75.69,18.0,107.13,3,387
Veg Fried Rice,202.0,204.0,34.96,160.0,240.0,4.3,4.35,0.37,3.8,4.7,42.75,35.0,44.41,4,97
Veg Fried Rice Chicken Curry Combo,148.0,148.0,,148.0,148.0,3.2,3.2,,3.2,3.2,49.0,49.0,,49,49
Veg Fry,85.0,85.0,0.0,85.0,85.0,4.88,4.9,0.05,4.8,4.9,27.5,24.0,15.55,14,48
